,sp_name,sp_artist,sp_url,year,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,The Battle Of New Orleans,Johnny Horton,https://open.spotify.com/track/0dwpdcQkeZqpuoAPYD49N3,1959,0.764,https://api.spotify.com/v1/audio-analysis/0dwpdcQkeZqpuoAPYD49N3,0.703,151627,0.776,0dwpdcQkeZqpuoAPYD49N3,0,9,0.0988,-10.983,1,0.139,177.283,4,https://api.spotify.com/v1/tracks/0dwpdcQkeZqpuoAPYD49N3,audio_features,spotify:track:0dwpdcQkeZqpuoAPYD49N3,0.921
1,Mack the Knife,Bobby Darin,https://open.spotify.com/track/3E5ndyOfO6vFDEIE42HA8o,1959,0.76,https://api.spotify.com/v1/audio-analysis/3E5ndyOfO6vFDEIE42HA8o,0.549,184333,0.529,3E5ndyOfO6vFDEIE42HA8o,0,3,0.206,-12.291,0,0.108,82.755,4,https://api.spotify.com/v1/tracks/3E5ndyOfO6vFDEIE42HA8o,audio_features,spotify:track:3E5ndyOfO6vFDEIE42HA8o,0.464
2,Personality,Lloyd Price,https://open.spotify.com/track/5vjigjfoXuJEttqLB3HTAg,1959,0.744,https://api.spotify.com/v1/audio-analysis/5vjigjfoXuJEttqLB3HTAg,0.591,157733,0.454,5vjigjfoXuJEttqLB3HTAg,0,5,0.0989,-8.936,1,0.0322,128.909,4,https://api.spotify.com/v1/tracks/5vjigjfoXuJEttqLB3HTAg,audio_features,spotify:track:5vjigjfoXuJEttqLB3HTAg,0.865
3,Venus,Frankie Avalon,https://open.spotify.com/track/0DDkW8j34M5hvxj79uGmK7,1959,0.732,https://api.spotify.com/v1/audio-analysis/0DDkW8j34M5hvxj79uGmK7,0.558,143493,0.483,0DDkW8j34M5hvxj79uGmK7,2.76e-05,10,0.131,-10.229,1,0.0291,115.184,4,https://api.spotify.com/v1/tracks/0DDkW8j34M5hvxj79uGmK7,audio_features,spotify:track:0DDkW8j34M5hvxj79uGmK7,0.745
4,Lonely Boy,Paul Anka,https://open.spotify.com/track/4kh2S9hRpPvoF9JkwZcYGN,1959,0.352,https://api.spotify.com/v1/audio-analysis/4kh2S9hRpPvoF9JkwZcYGN,0.623,151107,0.605,4kh2S9hRpPvoF9JkwZcYGN,0,0,0.101,-9.923,1,0.0306,106.163,3,https://api.spotify.com/v1/tracks/4kh2S9hRpPvoF9JkwZcYGN,audio_features,spotify:track:4kh2S9hRpPvoF9JkwZcYGN,0.804
5,Dream Lover,Bobby Darin,https://open.spotify.com/track/1KLpjQFgubHI3GkAICCNH3,1959,0.715,https://api.spotify.com/v1/audio-analysis/1KLpjQFgubHI3GkAICCNH3,0.526,150706,0.774,1KLpjQFgubHI3GkAICCNH3,0,5,0.437,-1.692,1,0.0459,131.715,4,https://api.spotify.com/v1/tracks/1KLpjQFgubHI3GkAICCNH3,audio_features,spotify:track:1KLpjQFgubHI3GkAICCNH3,0.715
6,The Three Bells,The Browns,https://open.spotify.com/track/24SbmQo3XQkNLpSBYda4DA,1959,0.893,https://api.spotify.com/v1/audio-analysis/24SbmQo3XQkNLpSBYda4DA,0.47,169573,0.159,24SbmQo3XQkNLpSBYda4DA,0,7,0.124,-14.795,1,0.0403,106.488,4,https://api.spotify.com/v1/tracks/24SbmQo3XQkNLpSBYda4DA,audio_features,spotify:track:24SbmQo3XQkNLpSBYda4DA,0.418
7,Come Softly To Me,The Fleetwoods,https://open.spotify.com/track/603N4XGJUTbK760GLCvIIs,1959,0.93,https://api.spotify.com/v1/audio-analysis/603N4XGJUTbK760GLCvIIs,0.601,144933,0.095,603N4XGJUTbK760GLCvIIs,0.000285,1,0.116,-18.478,1,0.0374,122.975,4,https://api.spotify.com/v1/tracks/603N4XGJUTbK760GLCvIIs,audio_features,spotify:track:603N4XGJUTbK760GLCvIIs,0.672
8,Kansas City,Wilbert Harrison,https://open.spotify.com/track/4GvyP7CnBJEV2t7L7vOkjw,1959,0.653,https://api.spotify.com/v1/audio-analysis/4GvyP7CnBJEV2t7L7vOkjw,0.727,150333,0.665,4GvyP7CnBJEV2t7L7vOkjw,0.233,1,0.349,-6.453,1,0.0352,114.979,4,https://api.spotify.com/v1/tracks/4GvyP7CnBJEV2t7L7vOkjw,audio_features,spotify:track:4GvyP7CnBJEV2t7L7vOkjw,0.912
9,Mr. Blue,The Fleetwoods,https://open.spotify.com/track/6bnFjTW3EnMG4BwreDnSHK,1959,0.931,https://api.spotify.com/v1/audio-analysis/6bnFjTW3EnMG4BwreDnSHK,0.374,145133,0.0889,6bnFjTW3EnMG4BwreDnSHK,6.88e-06,4,0.111,-17.475,1,0.0356,96.677,4,https://api.spotify.com/v1/tracks/6bnFjTW3EnMG4BwreDnSHK,audio_features,spotify:track:6bnFjTW3EnMG4BwreDnSHK,0.211
10,Sleep Walk,Santo & Johnny,https://open.spotify.com/track/0yK8sWD6cfrc7pGfaPIcZH,1959,0.759,https://api.spotify.com/v1/audio-analysis/0yK8sWD6cfrc7pGfaPIcZH,0.779,145333,0.212,0yK8sWD6cfrc7pGfaPIcZH,0.959,10,0.235,-9.759,0,0.0362,94.675,3,https://api.spotify.com/v1/tracks/0yK8sWD6cfrc7pGfaPIcZH,audio_features,spotify:track:0yK8sWD6cfrc7pGfaPIcZH,0.444
11,Put Your Head On My Shoulder,Paul Anka,https://open.spotify.com/track/2DpJ9T2RVRanZcYFHKOAfA,1959,0.747,https://api.spotify.com/v1/audio-analysis/2DpJ9T2RVRanZcYFHKOAfA,0.547,154733,0.335,2DpJ9T2RVRanZcYFHKOAfA,0,4,0.101,-9.2,0,0.0307,115.838,3,https://api.spotify.com/v1/tracks/2DpJ9T2RVRanZcYFHKOAfA,audio_features,spotify:track:2DpJ9T2RVRanZcYFHKOAfA,0.474
12,Stagger Lee,Lloyd Price,https://open.spotify.com/track/4MUGG9mgDUP8dlaS3AAeg0,1959,0.675,https://api.spotify.com/v1/audio-analysis/4MUGG9mgDUP8dlaS3AAeg0,0.396,144960,0.618,4MUGG9mgDUP8dlaS3AAeg0,0,3,0.0982,-8.209,1,0.0311,69.835,4,https://api.spotify.com/v1/tracks/4MUGG9mgDUP8dlaS3AAeg0,audio_features,spotify:track:4MUGG9mgDUP8dlaS3AAeg0,0.824
13,Donna - Single Version,Ritchie Valens,https://open.spotify.com/track/0VE4ayVlGs5DBoqOdgJ0Zv,1959,0.864,https://api.spotify.com/v1/audio-analysis/0VE4ayVlGs5DBoqOdgJ0Zv,0.472,150973,0.225,0VE4ayVlGs5DBoqOdgJ0Zv,0,5,0.111,-12.581,1,0.0263,100.299,3,https://api.spotify.com/v1/tracks/0VE4ayVlGs5DBoqOdgJ0Zv,audio_features,spotify:track:0VE4ayVlGs5DBoqOdgJ0Zv,0.29
14,Smoke Gets In Your Eyes,The Platters,https://open.spotify.com/track/2vSxjnyrWrtxyfzO47EX6q,1959,0.92,https://api.spotify.com/v1/audio-analysis/2vSxjnyrWrtxyfzO47EX6q,0.203,160933,0.295,2vSxjnyrWrtxyfzO47EX6q,2.05e-06,3,0.173,-11.155,1,0.0323,171.222,3,https://api.spotify.com/v1/tracks/2vSxjnyrWrtxyfzO47EX6q,audio_features,spotify:track:2vSxjnyrWrtxyfzO47EX6q,0.285
15,Charlie Brown,The Coasters,https://open.spotify.com/track/6Q0aBakbTsjQO6iGdxmXlx,1959,0.404,https://api.spotify.com/v1/audio-analysis/6Q0aBakbTsjQO6iGdxmXlx,0.646,141667,0.628,6Q0aBakbTsjQO6iGdxmXlx,5.03e-06,3,0.00967,-8.794,1,0.243,125.705,4,https://api.spotify.com/v1/tracks/6Q0aBakbTsjQO6iGdxmXlx,audio_features,spotify:track:6Q0aBakbTsjQO6iGdxmXlx,0.881
16,Quiet Village - Original Mono Version,Martin Denny,https://open.spotify.com/track/3ZI49HJE66dhI3EvYHDqSz,1959,0.685,https://api.spotify.com/v1/audio-analysis/3ZI49HJE66dhI3EvYHDqSz,0.818,220240,0.482,3ZI49HJE66dhI3EvYHDqSz,0.119,2,0.228,-8.915,0,0.0538,114.324,4,https://api.spotify.com/v1/tracks/3ZI49HJE66dhI3EvYHDqSz,audio_features,spotify:track:3ZI49HJE66dhI3EvYHDqSz,0.299
17,My Heart Is An Open Book,"Carl Dobkins, Jr.",https://open.spotify.com/track/4oPoduVWqtgmHj7L2aIM9Y,1959,0.582,https://api.spotify.com/v1/audio-analysis/4oPoduVWqtgmHj7L2aIM9Y,0.74,120320,0.428,4oPoduVWqtgmHj7L2aIM9Y,1.63e-06,4,0.194,-10.398,1,0.0928,134.008,4,https://api.spotify.com/v1/tracks/4oPoduVWqtgmHj7L2aIM9Y,audio_features,spotify:track:4oPoduVWqtgmHj7L2aIM9Y,0.731
18,('Til) I Kissed You,The Everly Brothers,https://open.spotify.com/track/2erTdgDOZmjJNaNhjhWXhJ,1959,0.401,https://api.spotify.com/v1/audio-analysis/2erTdgDOZmjJNaNhjhWXhJ,0.518,146067,0.432,2erTdgDOZmjJNaNhjhWXhJ,0,10,0.299,-11.689,0,0.0459,139.567,4,https://api.spotify.com/v1/tracks/2erTdgDOZmjJNaNhjhWXhJ,audio_features,spotify:track:2erTdgDOZmjJNaNhjhWXhJ,0.701
19,Sea Of Love,Phil Phillips & The Twilights,https://open.spotify.com/track/4gUDdUr5yK0JGlR49zSRVt,1959,0.786,https://api.spotify.com/v1/audio-analysis/4gUDdUr5yK0JGlR49zSRVt,0.449,141933,0.571,4gUDdUr5yK0JGlR49zSRVt,0,7,0.385,-5.848,1,0.0281,127.565,3,https://api.spotify.com/v1/tracks/4gUDdUr5yK0JGlR49zSRVt,audio_features,spotify:track:4gUDdUr5yK0JGlR49zSRVt,0.308
20,The Happy Organ,"Dave ""Baby"" Cortez",https://open.spotify.com/track/4HCfvYhhYPmfu0JMHamXeL,1959,0.544,https://api.spotify.com/v1/audio-analysis/4HCfvYhhYPmfu0JMHamXeL,0.636,125200,0.888,4HCfvYhhYPmfu0JMHamXeL,0.141,1,0.0763,-6.811,1,0.0314,91.19,4,https://api.spotify.com/v1/tracks/4HCfvYhhYPmfu0JMHamXeL,audio_features,spotify:track:4HCfvYhhYPmfu0JMHamXeL,0.97
21,Sorry (I Ran All The Way Home),The Impalas,https://open.spotify.com/track/6LHCwuY2YSQSS4qb3gooVg,1959,0.702,https://api.spotify.com/v1/audio-analysis/6LHCwuY2YSQSS4qb3gooVg,0.668,149667,0.328,6LHCwuY2YSQSS4qb3gooVg,0.00913,3,0.121,-12.917,1,0.0389,131.775,4,https://api.spotify.com/v1/tracks/6LHCwuY2YSQSS4qb3gooVg,audio_features,spotify:track:6LHCwuY2YSQSS4qb3gooVg,0.885
22,A Teenager In Love,Dion & The Belmonts,https://open.spotify.com/track/0QGwOFQChzflLAmPq5NwKo,1959,0.671,https://api.spotify.com/v1/audio-analysis/0QGwOFQChzflLAmPq5NwKo,0.555,158253,0.377,0QGwOFQChzflLAmPq5NwKo,0,1,0.128,-9.123,1,0.0295,78.986,4,https://api.spotify.com/v1/tracks/0QGwOFQChzflLAmPq5NwKo,audio_features,spotify:track:0QGwOFQChzflLAmPq5NwKo,0.619
23,16 Candles,The Crests,https://open.spotify.com/track/4QbpBv2ka7Zpbrrl5QFAgy,1959,0.733,https://api.spotify.com/v1/audio-analysis/4QbpBv2ka7Zpbrrl5QFAgy,0.591,172460,0.472,4QbpBv2ka7Zpbrrl5QFAgy,0,10,0.0987,-4.906,1,0.0261,114.097,3,https://api.spotify.com/v1/tracks/4QbpBv2ka7Zpbrrl5QFAgy,audio_features,spotify:track:4QbpBv2ka7Zpbrrl5QFAgy,0.627
24,It's Just a Matter of Time - Rerecorded,Brook Benton,https://open.spotify.com/track/3UjVdOZBluypI9Qdc4IPsB,1959,0.858,https://api.spotify.com/v1/audio-analysis/3UjVdOZBluypI9Qdc4IPsB,0.57,145067,0.273,3UjVdOZBluypI9Qdc4IPsB,0.151,3,0.17,-13.659,1,0.0332,100.965,3,https://api.spotify.com/v1/tracks/3UjVdOZBluypI9Qdc4IPsB,audio_features,spotify:track:3UjVdOZBluypI9Qdc4IPsB,0.471
