,sp_name,sp_artist,sp_url,year,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Harlem Shake,Baauer,https://open.spotify.com/track/01XFgRZfZI7oBagNf1Loml,2013,0.0111,https://api.spotify.com/v1/audio-analysis/01XFgRZfZI7oBagNf1Loml,0.452,196664,0.794,01XFgRZfZI7oBagNf1Loml,0.00182,0,0.416,-5.151,1,0.0483,137.825,4,https://api.spotify.com/v1/tracks/01XFgRZfZI7oBagNf1Loml,audio_features,spotify:track:01XFgRZfZI7oBagNf1Loml,0.282
1,Just Give Me a Reason (feat. Nate Ruess),P!nk,https://open.spotify.com/track/1mKXFLRA179hdOWQBwUk9e,2013,0.346,https://api.spotify.com/v1/audio-analysis/1mKXFLRA179hdOWQBwUk9e,0.778,242733,0.547,1mKXFLRA179hdOWQBwUk9e,0.000302,2,0.132,-7.273,1,0.0489,95.002,4,https://api.spotify.com/v1/tracks/1mKXFLRA179hdOWQBwUk9e,audio_features,spotify:track:1mKXFLRA179hdOWQBwUk9e,0.441
2,Blurred Lines,Robin Thicke,https://open.spotify.com/track/0n4bITAu0Y0nigrz3MFJMb,2013,0.00334,https://api.spotify.com/v1/audio-analysis/0n4bITAu0Y0nigrz3MFJMb,0.853,263827,0.599,0n4bITAu0Y0nigrz3MFJMb,7.93e-06,7,0.0759,-4.756,1,0.0411,119.993,4,https://api.spotify.com/v1/tracks/0n4bITAu0Y0nigrz3MFJMb,audio_features,spotify:track:0n4bITAu0Y0nigrz3MFJMb,0.843
3,Royals,Lorde,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,2013,0.121,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,0.674,190185,0.428,2dLLR6qlu5UJ5gk0dKz0h3,0.0,7,0.132,-9.504,1,0.122,84.878,4,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,audio_features,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,0.337
4,Blurred Lines,Robin Thicke,https://open.spotify.com/track/0n4bITAu0Y0nigrz3MFJMb,2013,0.00334,https://api.spotify.com/v1/audio-analysis/0n4bITAu0Y0nigrz3MFJMb,0.853,263827,0.599,0n4bITAu0Y0nigrz3MFJMb,7.93e-06,7,0.0759,-4.756,1,0.0411,119.993,4,https://api.spotify.com/v1/tracks/0n4bITAu0Y0nigrz3MFJMb,audio_features,spotify:track:0n4bITAu0Y0nigrz3MFJMb,0.843
5,Roar,Katy Perry,https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM,2013,0.00487,https://api.spotify.com/v1/audio-analysis/6F5c58TMEs1byxUstkzVeM,0.554,223546,0.772,6F5c58TMEs1byxUstkzVeM,6.6e-06,7,0.354,-4.821,0,0.0418,179.984,4,https://api.spotify.com/v1/tracks/6F5c58TMEs1byxUstkzVeM,audio_features,spotify:track:6F5c58TMEs1byxUstkzVeM,0.455
6,Mirrors,Justin Timberlake,https://open.spotify.com/track/4rHZZAmHpZrA3iH5zx8frV,2013,0.234,https://api.spotify.com/v1/audio-analysis/4rHZZAmHpZrA3iH5zx8frV,0.574,484147,0.512,4rHZZAmHpZrA3iH5zx8frV,0.0,5,0.0946,-6.664,0,0.0503,76.899,4,https://api.spotify.com/v1/tracks/4rHZZAmHpZrA3iH5zx8frV,audio_features,spotify:track:4rHZZAmHpZrA3iH5zx8frV,0.512
7,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof,2013,0.0426,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,0.794,248413,0.811,2Foc5Q5nqNiosCNqttzHof,1.07e-06,6,0.101,-8.966,0,0.038,116.047,4,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,audio_features,spotify:track:2Foc5Q5nqNiosCNqttzHof,0.862
8,We Can't Stop,Miley Cyrus,https://open.spotify.com/track/2y4lAQpi5VTNLu2ldeTdUH,2013,0.00882,https://api.spotify.com/v1/audio-analysis/2y4lAQpi5VTNLu2ldeTdUH,0.613,231240,0.622,2y4lAQpi5VTNLu2ldeTdUH,0.0,1,0.37,-5.794,0,0.0334,80.003,4,https://api.spotify.com/v1/tracks/2y4lAQpi5VTNLu2ldeTdUH,audio_features,spotify:track:2y4lAQpi5VTNLu2ldeTdUH,0.484
9,Wrecking Ball,Miley Cyrus,https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE,2013,0.407,https://api.spotify.com/v1/audio-analysis/2vwlzO0Qp8kfEtzTsCXfyE,0.53,221360,0.422,2vwlzO0Qp8kfEtzTsCXfyE,0.0,5,0.107,-6.262,1,0.0342,119.964,4,https://api.spotify.com/v1/tracks/2vwlzO0Qp8kfEtzTsCXfyE,audio_features,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,0.349
