ranking,artist,song,year
1,Drake,God’s Plan,2018
2,Ed Sheeran,Perfect,2018
3,Bebe Rexha & Florida Georgia Line,Meant To Be,2018
4,Camila Cabello Featuring Young Thug,Havana,2018
5,Post Malone Featuring 21 Savage,Rockstar,2018
6,Post Malone Featuring Ty Dolla $ign,Psycho,2018
7,"Cardi B, Bad Bunny & J Balvin",I Like It,2018
8,"Zedd, Maren Morris & Grey",The Middle,2018
9,Drake,In My Feelings,2018
10,Maroon 5 Featuring Cardi B,Girls Like You,2018
11,Drake,Nice For What,2018
12,Juice WRLD,Lucid Dreams,2018
13,Post Malone,Better Now,2018
14,Bruno Mars & Cardi B,Finesse,2018
15,Ella Mai,Boo’d Up,2018
16,Dua Lipa,New Rules,2018
17,XXXTENTACION,Sad!,2018
18,Camila Cabello,Never Be The Same,2018
19,Khalid & Normani,Love Lies,2018
20,Ariana Grande,No Tears Left To Cry,2018
21,Bazzi,Mine,2018
22,Imagine Dragons,Thunder,2018
23,BlocBoy JB Featuring Drake,Look Alive,2018
24,Taylor Swift,Delicate,2018
25,Lil Baby & Drake,Yes Indeed,2018
26,Marshmello & Anne-Marie,Friends,2018
27,Halsey,Bad At Love,2018
28,Tyga Featuring Offset,Taste,2018
29,NF,Let You Down,2018
30,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,2018
31,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,2018
32,Dan + Shay,Tequila,2018
33,Portugal. The Man,Feel It Still,2018
34,"Migos, Nicki Minaj & Cardi B",MotorSport,2018
35,Lauv,I Like Me Better,2018
36,5 Seconds Of Summer,Youngblood,2018
37,Imagine Dragons,Whatever It Takes,2018
38,Offset & Metro Boomin,Ric Flair Drip,2018
39,Post Malone,I Fall Apart,2018
40,The Weeknd & Kendrick Lamar,Pray For Me,2018
41,Selena Gomez,Back To You,2018
42,Travis Scott,Sicko Mode,2018
43,Migos Featuring Drake,Walk It Talk It,2018
44,Lil Pump,Gucci Gang,2018
45,G-Eazy & Halsey,Him & I,2018
46,Shawn Mendes,In My Blood,2018
47,Kendrick Lamar & SZA,All The Stars,2018
48,Migos,Stir Fry,2018
49,Sam Smith,Too Good At Goodbyes,2018
50,Kendrick Lamar Featuring Zacari,Love.,2018
51,Childish Gambino,This Is America,2018
52,Drake,Nonstop,2018
53,Kane Brown,Heaven,2018
54,Cardi B,Bodak Yellow (Money Moves),2018
55,Lil Dicky Featuring Chris Brown,Freaky Friday,2018
56,6ix9ine,Gummo,2018
57,Rich The Kid,Plug Walk,2018
58,Maroon 5,Wait,2018
59,Cardi B,Be Careful,2018
60,Selena Gomez X Marshmello,Wolves,2018
61,Cardi B Featuring 21 Savage,Bartier Cardi,2018
62,Ariana Grande,God Is A Woman,2018
63,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,2018
64,Demi Lovato,Sorry Not Sorry,2018
65,Charlie Puth,How Long,2018
66,MAX Featuring gnash,Lights Down Low,2018
67,Khalid,Young Dumb & Broke,2018
68,Calvin Harris & Dua Lipa,One Kiss,2018
69,Imagine Dragons,Natural,2018
70,Jason Aldean,You Make It Easy,2018
71,Ed Sheeran,Shape Of You,2018
72,Gucci Mane Featuring Migos,I Get The Bag,2018
73,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,2018
74,A$AP Ferg Featuring Nicki Minaj,Plain Jane,2018
75,Miguel Featuring Travis Scott,Sky Walker,2018
76,Thomas Rhett,Marry Me,2018
77,"Benny Blanco, Halsey & Khalid",Eastside,2018
78,The Weeknd,Call Out My Name,2018
79,"Jay Rock, Kendrick Lamar, Future & James Blake",King’s Dead,2018
80,Marshmello & Bastille,Happier,2018
81,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,2018
82,Florida Georgia Line,Simple,2018
83,N*E*R*D & Rihanna,Lemon,2018
84,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,2018
85,Justin Timberlake Featuring Chris Stapleton,Say Something,2018
86,Drake,I’m Upset,2018
87,Kenny Chesney,Get Along,2018
88,XXXTENTACION,Moonlight,2018
89,Maroon 5 Featuring SZA,What Lovers Do,2018
90,Nicky Jam x J Balvin,X,2018
91,YoungBoy Never Broke Again,Outside Today,2018
92,Ella Mai,Trip,2018
93,Daddy Yankee,Dura,2018
94,XXXTENTACION,Changes,2018
95,Brett Young,Mercy,2018
96,Luke Combs,One Number Away,2018
97,Rae Sremmurd & Juicy J,Powerglide,2018
98,Dua Lipa,IDGAF,2018
99,J Balvin & Willy William Featuring Beyonce,Mi Gente,2018
100,Imagine Dragons,Believer,2018
