,ranking,artist,song,year
0,1.0,Macklemore & Ryan Lewis Featuring Ray Dalton,Can’t Hold Us,2013
1,2.0,Baauer,Harlem Shake,2013
2,3.0,P!nk Featuring Nate Ruess,Just Give Me A Reason,2013
3,4.0,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,2013
4,5.0,Lorde,Royals,2013
5,6.0,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,2013
6,7.0,Katy Perry,Roar,2013
7,8.0,Justin Timberlake,Mirrors,2013
8,9.0,Daft Punk Featuring Pharrell Williams,Get Lucky,2013
9,10.0,Miley Cyrus,We Can’t Stop,2013
10,11.0,Miley Cyrus,Wrecking Ball,2013
11,12.0,will.i.am & Britney Spears,Scream & Shout,2013
12,13.0,Justin Timberlake Featuring Jay Z,Suit & Tie,2013
13,14.0,Rihanna Featuring Mikky Ekko,Stay,2013
14,15.0,Eminem,Berzerk,2013
15,16.0,Eminem Featuring Rihanna,The Monster,2013
16,17.0,Drake Featuring Majid Jordan,"Hold On, We’re Going Home",2013
17,18.0,Florida Georgia Line Featuring Nelly,Cruise,2013
18,19.0,Bruno Mars,Treasure,2013
19,20.0,Avicii,Wake Me Up!,2013
20,21.0,Jay Z Featuring Justin Timberlake,Holy Grail,2013
21,22.0,Drake,Started From The Bottom,2013
22,23.0,Anna Kendrick,Cups (Pitch Perfect’s When I’m Gone),2013
23,24.0,Selena Gomez,Come & Get It,2013
24,25.0,Lady Gaga,Applause,2013
25,26.0,One Direction,Story Of My Life,2013
26,27.0,Imagine Dragons,Demons,2013
27,28.0,Pitbull Featuring Christina Aguilera,Feel This Moment,2013
28,29.0,Zedd Featuring Foxes,Clarity,2013
29,30.0,Ylvis,The Fox,2013
30,31.0,Lil Wayne Featuring Drake & Future,Love Me,2013
31,32.0,Icona Pop Featuring Charli XCX,I Love It,2013
32,33.0,Capital Cities,Safe And Sound,2013
33,34.0,OneRepublic,Counting Stars,2013
34,35.0,Demi Lovato,Heart Attack,2013
35,36.0,Ariana Grande Featuring Mac Miller,The Way,2013
36,37.0,Maroon 5,Love Somebody,2013
37,38.0,Lana Del Rey & Cedric Gervais,Summertime Sadness,2013
38,39.0,Macklemore & Ryan Lewis Feat Mary Lambert,Same Love,2013
