,sp_name,sp_artist,sp_url,year,popularity,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,bbd
0,Shake 'Em On Down,North Mississippi Allstars,https://open.spotify.com/track/0c89AX1OJlQM22def9hr0n,2000,32,0.0112,https://api.spotify.com/v1/audio-analysis/0c89AX1OJlQM22def9hr0n,0.6759999999999999,248960,0.8690000000000001,0c89AX1OJlQM22def9hr0n,0.00017900000000000001,7,0.213,-7.771,1,0.0864,123.586,4,https://api.spotify.com/v1/tracks/0c89AX1OJlQM22def9hr0n,audio_features,spotify:track:0c89AX1OJlQM22def9hr0n,0.698,0
1,Hontelot pojat,Zen Cafe,https://open.spotify.com/track/6KueNqgmnkZyu1DaeNxQgL,2005,9,0.0677,https://api.spotify.com/v1/audio-analysis/6KueNqgmnkZyu1DaeNxQgL,0.6579999999999999,255427,0.573,6KueNqgmnkZyu1DaeNxQgL,0.0286,9,0.102,-6.396,0,0.0289,89.012,4,https://api.spotify.com/v1/tracks/6KueNqgmnkZyu1DaeNxQgL,audio_features,spotify:track:6KueNqgmnkZyu1DaeNxQgL,0.698,0
2,Affiliated With the Suffering,Blood Red Throne,https://open.spotify.com/track/7Dt9OJhzn7gQ8urVeW59t5,2003,8,3.86e-06,https://api.spotify.com/v1/audio-analysis/7Dt9OJhzn7gQ8urVeW59t5,0.395,246867,0.981,7Dt9OJhzn7gQ8urVeW59t5,0.765,2,0.31,-4.696000000000001,1,0.231,199.051,4,https://api.spotify.com/v1/tracks/7Dt9OJhzn7gQ8urVeW59t5,audio_features,spotify:track:7Dt9OJhzn7gQ8urVeW59t5,0.188,0
3,Estoy Aquí,Shakira,https://open.spotify.com/track/4M1lEbqPzlEw1JYWB6aE7K,1995,66,0.0307,https://api.spotify.com/v1/audio-analysis/4M1lEbqPzlEw1JYWB6aE7K,0.732,232467,0.8140000000000001,4M1lEbqPzlEw1JYWB6aE7K,0.0,2,0.0691,-7.716,1,0.0402,116.973,4,https://api.spotify.com/v1/tracks/4M1lEbqPzlEw1JYWB6aE7K,audio_features,spotify:track:4M1lEbqPzlEw1JYWB6aE7K,0.782,0
4,Tune Up - Take 5,Wes Montgomery,https://open.spotify.com/track/5ta4df06VXtrLMW9avtjV6,1991,9,0.9620000000000001,https://api.spotify.com/v1/audio-analysis/5ta4df06VXtrLMW9avtjV6,0.589,190893,0.14300000000000002,5ta4df06VXtrLMW9avtjV6,0.366,0,0.105,-23.285,1,0.0311,135.017,4,https://api.spotify.com/v1/tracks/5ta4df06VXtrLMW9avtjV6,audio_features,spotify:track:5ta4df06VXtrLMW9avtjV6,0.5589999999999999,0
5,Turn It Up - Peter Rauhofer Does Paris Edit,Paris Hilton,https://open.spotify.com/track/57LgEijr0dVt5QXYRiuObA,2006,9,0.00028,https://api.spotify.com/v1/audio-analysis/57LgEijr0dVt5QXYRiuObA,0.794,297411,0.7070000000000001,57LgEijr0dVt5QXYRiuObA,0.6759999999999999,11,0.0778,-6.89,1,0.061,128.003,4,https://api.spotify.com/v1/tracks/57LgEijr0dVt5QXYRiuObA,audio_features,spotify:track:57LgEijr0dVt5QXYRiuObA,0.573,0
6,World of Our Own - Single Remix,Westlife,https://open.spotify.com/track/3NnJrXwCZw2bf4RKxpLEsM,2000,43,0.0232,https://api.spotify.com/v1/audio-analysis/3NnJrXwCZw2bf4RKxpLEsM,0.6990000000000001,208320,0.784,3NnJrXwCZw2bf4RKxpLEsM,0.0,1,0.0857,-3.667,1,0.0401,97.98200000000001,4,https://api.spotify.com/v1/tracks/3NnJrXwCZw2bf4RKxpLEsM,audio_features,spotify:track:3NnJrXwCZw2bf4RKxpLEsM,0.858,0
7,Visionaire - remastered,Tiamat,https://open.spotify.com/track/3XED0QGK1mSAHuoYlPGRZ6,1994,21,0.00436,https://api.spotify.com/v1/audio-analysis/3XED0QGK1mSAHuoYlPGRZ6,0.324,259707,0.789,3XED0QGK1mSAHuoYlPGRZ6,0.5720000000000001,0,0.29600000000000004,-6.591,0,0.0325,174.975,3,https://api.spotify.com/v1/tracks/3XED0QGK1mSAHuoYlPGRZ6,audio_features,spotify:track:3XED0QGK1mSAHuoYlPGRZ6,0.179,0
8,Victim of Mass Production,The Cribs,https://open.spotify.com/track/4BgdewwoNovIq5uqzJwKnM,2009,0,0.0181,https://api.spotify.com/v1/audio-analysis/4BgdewwoNovIq5uqzJwKnM,0.38799999999999996,248200,0.93,4BgdewwoNovIq5uqzJwKnM,0.0374,6,0.09699999999999999,-5.515,1,0.067,147.414,4,https://api.spotify.com/v1/tracks/4BgdewwoNovIq5uqzJwKnM,audio_features,spotify:track:4BgdewwoNovIq5uqzJwKnM,0.303,0
9,Patchwork Quilt,Warren Haynes,https://open.spotify.com/track/2Y9d8yGTugT19wyz4CcmvW,2003,19,0.7509999999999999,https://api.spotify.com/v1/audio-analysis/2Y9d8yGTugT19wyz4CcmvW,0.386,268640,0.439,2Y9d8yGTugT19wyz4CcmvW,2.08e-06,6,0.89,-10.827,0,0.035,177.64,3,https://api.spotify.com/v1/tracks/2Y9d8yGTugT19wyz4CcmvW,audio_features,spotify:track:2Y9d8yGTugT19wyz4CcmvW,0.27699999999999997,0
